"id","year","expend","revenue","grants"
114,1979,0.0229736,0.018177,0.0054429
114,1980,0.0266307,0.0209142,0.0057304
114,1981,0.0273253,0.0210836,0.0056647
114,1982,0.0288704,0.023431,0.0058859
114,1983,0.0226474,0.0179979,0.0055908
114,1984,0.0215601,0.0179949,0.0047536
114,1985,0.021959,0.0162235,0.0054905
114,1986,0.0208887,0.0159412,0.0053983
114,1987,0.0213267,0.0165892,0.0051345
115,1979,0.0156618,0.0145388,0.0043538
115,1980,0.0169676,0.0120869,0.0045656
115,1981,0.0177103,0.0127321,0.0051158
115,1982,0.0180481,0.0122875,0.0047823
115,1983,0.0142374,0.0098543,0.004608
115,1984,0.0163231,0.0126863,0.0045813
115,1985,0.0146979,0.0116686,0.0046442
115,1986,0.0187262,0.0114199,0.0044024
115,1987,0.017147,0.0117049,0.004478
120,1979,0.0184838,0.0141516,0.0044573
120,1980,0.0191331,0.0143768,0.0047812
120,1981,0.0183667,0.0134865,0.004488
120,1982,0.0175743,0.0144868,0.0044453
120,1983,0.0161189,0.0137483,0.004122
120,1984,0.0166541,0.0120973,0.0040402
120,1985,0.0168847,0.0128326,0.00409
120,1986,0.0166095,0.0119202,0.004186
120,1987,0.0170306,0.0124913,0.0039737
123,1979,0.0250073,0.0201867,0.0053014
123,1980,0.0255251,0.0195138,0.0052895
123,1981,0.0271434,0.0208347,0.0052964
123,1982,0.027985,0.0221759,0.005211
123,1983,0.0202159,0.0153417,0.0052723
123,1984,0.0200153,0.016413,0.0048115
123,1985,0.0216899,0.01769,0.0054034
123,1986,0.0216471,0.0163155,0.0049888
123,1987,0.0267085,0.0219611,0.0051286
125,1979,0.0167595,0.013094,0.0041528
125,1980,0.017293,0.0123338,0.0045735
125,1981,0.016768,0.012931,0.0043864
125,1982,0.0171215,0.013155,0.0042053
125,1983,0.0150811,0.0107631,0.0042052
125,1984,0.0153968,0.011009,0.0041448
125,1985,0.0159064,0.0117504,0.0039209
125,1986,0.0164406,0.0125861,0.0049408
125,1987,0.0169779,0.0120602,0.0044498
126,1979,0.0219676,0.0181674,0.0048689
126,1980,0.0217616,0.0173885,0.0048047
126,1981,0.0222326,0.0182411,0.0044607
126,1982,0.022246,0.0182746,0.0044455
126,1983,0.0187667,0.0149633,0.0045554
126,1984,0.0187814,0.0144672,0.0045471
126,1985,0.0190589,0.0139736,0.0047767
126,1986,0.0194701,0.0140837,0.0047631
126,1987,0.0191126,0.0145366,0.0046701
136,1979,0.0231743,0.0172042,0.0060384
136,1980,0.0245967,0.0173582,0.006536
136,1981,0.0206463,0.0151346,0.005898
136,1982,0.0211217,0.0161283,0.0057188
136,1983,0.0182058,0.0118334,0.0056735
136,1984,0.0179112,0.0123566,0.0055618
136,1985,0.0178823,0.012606,0.0051657
136,1986,0.0185606,0.0129887,0.0052017
136,1987,0.018101,0.0123385,0.0051862
138,1979,0.0193453,0.0148716,0.0053375
138,1980,0.0191195,0.0141446,0.0055588
138,1981,0.0207367,0.015909,0.0053564
138,1982,0.0223942,0.0163147,0.0054142
138,1983,0.0173469,0.0117937,0.0053568
138,1984,0.0174333,0.0128002,0.0050795
138,1985,0.0169316,0.0116849,0.0048706
138,1986,0.0182262,0.0127599,0.00489
138,1987,0.017268,0.0126449,0.0049236
139,1979,0.0194953,0.0152409,0.00518
139,1980,0.019583,0.0125925,0.005586
139,1981,0.019883,0.0147211,0.0062831
139,1982,0.0217389,0.0166368,0.0060952
139,1983,0.0201505,0.0138605,0.0068413
139,1984,0.0192867,0.013488,0.0061746
139,1985,0.0192668,0.0122691,0.0061371
139,1986,0.0187613,0.0117901,0.0063611
139,1987,0.0192023,0.0136853,0.0059216
160,1979,0.0183892,0.0135097,0.0047393
160,1980,0.0187225,0.0140094,0.0048461
160,1981,0.0187404,0.0143453,0.0047351
160,1982,0.0182531,0.0136378,0.00467
160,1983,0.0147415,0.0104118,0.0044672
160,1984,0.0145606,0.0103823,0.0044278
160,1985,0.0142048,0.0099963,0.0045194
160,1986,0.014819,0.0113629,0.0045705
160,1987,0.0158629,0.0106272,0.0047046
162,1979,0.0194371,0.0166595,0.0041089
162,1980,0.0195116,0.0169494,0.0043652
162,1981,0.022762,0.0176323,0.0041579
162,1982,0.0218111,0.0168973,0.004285
162,1983,0.0180309,0.01339,0.0040674
162,1984,0.017621,0.0140771,0.0040454
162,1985,0.018246,0.0142071,0.004078
162,1986,0.0164857,0.0140526,0.0038344
162,1987,0.0192921,0.0181579,0.0040215
163,1979,0.0225435,0.0184278,0.0047099
163,1980,0.0186703,0.0147731,0.0044931
163,1981,0.0191607,0.0160088,0.0046075
163,1982,0.0200525,0.0154452,0.0044964
163,1983,0.0169067,0.0122201,0.0044515
163,1984,0.0174109,0.0133126,0.0044498
163,1985,0.0172377,0.0124814,0.0046116
163,1986,0.0180343,0.0134563,0.0046572
163,1987,0.0186797,0.0132113,0.0045681
180,1979,0.0310347,0.0276293,0.0044812
180,1980,0.0307841,0.0263058,0.0044395
180,1981,0.0329161,0.0291416,0.0044244
180,1982,0.0338833,0.0290965,0.0044848
180,1983,0.0245821,0.0206053,0.0046155
180,1984,0.0247878,0.020263,0.0047331
180,1985,0.0253423,0.0205279,0.004539
180,1986,0.0266035,0.0222837,0.0046663
180,1987,0.0287885,0.024041,0.0047154
181,1979,0.0249773,0.0194171,0.0055475
181,1980,0.0265292,0.0200202,0.0056033
181,1981,0.0297857,0.0227815,0.0050954
181,1982,0.0326425,0.0272192,0.0048723
181,1983,0.0252096,0.0209529,0.0049096
181,1984,0.0252016,0.0215838,0.0051783
181,1985,0.0259637,0.0205718,0.0059083
